2022-11-21 03:48:47,500 INFO    StreamThr :5188 [internal.py:wandb_internal():91] W&B internal server running at pid: 5188, started at: 2022-11-21 03:48:47.500320
2022-11-21 03:48:47,502 DEBUG   HandlerThread:5188 [handler.py:handle_request():139] handle_request: status
2022-11-21 03:48:47,503 DEBUG   SenderThread:5188 [sender.py:send_request():317] send_request: status
2022-11-21 03:48:47,507 DEBUG   SenderThread:5188 [sender.py:send():303] send: header
2022-11-21 03:48:47,507 INFO    WriterThread:5188 [datastore.py:open_for_write():75] open: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221121_034847-qz0em29x\run-qz0em29x.wandb
2022-11-21 03:48:47,554 DEBUG   SenderThread:5188 [sender.py:send():303] send: run
2022-11-21 03:48:47,735 DEBUG   HandlerThread:5188 [handler.py:handle_request():139] handle_request: stop_status
2022-11-21 03:48:47,735 DEBUG   SenderThread:5188 [sender.py:send_request():317] send_request: stop_status
2022-11-21 03:48:48,092 INFO    SenderThread:5188 [dir_watcher.py:__init__():216] watching files in: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221121_034847-qz0em29x\files
2022-11-21 03:48:48,092 INFO    SenderThread:5188 [sender.py:_start_run_threads():931] run started: qz0em29x with start time 1668973727.504317
2022-11-21 03:48:48,092 DEBUG   SenderThread:5188 [sender.py:send():303] send: summary
2022-11-21 03:48:48,093 INFO    SenderThread:5188 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-11-21 03:48:48,097 DEBUG   HandlerThread:5188 [handler.py:handle_request():139] handle_request: check_version
2022-11-21 03:48:48,097 DEBUG   SenderThread:5188 [sender.py:send_request():317] send_request: check_version
2022-11-21 03:48:48,144 DEBUG   HandlerThread:5188 [handler.py:handle_request():139] handle_request: run_start
2022-11-21 03:48:48,154 DEBUG   HandlerThread:5188 [system_info.py:__init__():31] System info init
2022-11-21 03:48:48,165 DEBUG   HandlerThread:5188 [system_info.py:__init__():46] System info init done
2022-11-21 03:48:48,165 INFO    HandlerThread:5188 [system_monitor.py:start():150] Starting system monitor
2022-11-21 03:48:48,165 INFO    SystemMonitor:5188 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-21 03:48:48,165 INFO    HandlerThread:5188 [system_monitor.py:probe():168] Collecting system info
2022-11-21 03:48:48,169 INFO    SystemMonitor:5188 [interfaces.py:start():168] Started cpu
2022-11-21 03:48:48,169 INFO    SystemMonitor:5188 [interfaces.py:start():168] Started disk
2022-11-21 03:48:48,170 INFO    SystemMonitor:5188 [interfaces.py:start():168] Started gpu
2022-11-21 03:48:48,177 INFO    SystemMonitor:5188 [interfaces.py:start():168] Started memory
2022-11-21 03:48:48,179 DEBUG   HandlerThread:5188 [system_info.py:probe():195] Probing system
2022-11-21 03:48:48,190 INFO    SystemMonitor:5188 [interfaces.py:start():168] Started network
2022-11-21 03:48:48,192 DEBUG   HandlerThread:5188 [system_info.py:_probe_git():180] Probing git
2022-11-21 03:48:48,262 DEBUG   HandlerThread:5188 [system_info.py:_probe_git():188] Probing git done
2022-11-21 03:48:48,263 DEBUG   HandlerThread:5188 [system_info.py:probe():241] Probing system done
