2022-11-20 01:05:14,535 INFO    StreamThr :18152 [internal.py:wandb_internal():91] W&B internal server running at pid: 18152, started at: 2022-11-20 01:05:14.534761
2022-11-20 01:05:14,536 DEBUG   HandlerThread:18152 [handler.py:handle_request():139] handle_request: status
2022-11-20 01:05:14,538 DEBUG   SenderThread:18152 [sender.py:send_request():317] send_request: status
2022-11-20 01:05:14,542 DEBUG   SenderThread:18152 [sender.py:send():303] send: header
2022-11-20 01:05:14,542 INFO    WriterThread:18152 [datastore.py:open_for_write():75] open: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221120_010514-3gz2s1m4\run-3gz2s1m4.wandb
2022-11-20 01:05:14,593 DEBUG   SenderThread:18152 [sender.py:send():303] send: run
2022-11-20 01:05:15,255 INFO    SenderThread:18152 [dir_watcher.py:__init__():216] watching files in: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221120_010514-3gz2s1m4\files
2022-11-20 01:05:15,256 INFO    SenderThread:18152 [sender.py:_start_run_threads():931] run started: 3gz2s1m4 with start time 1668877514.537764
2022-11-20 01:05:15,257 DEBUG   SenderThread:18152 [sender.py:send():303] send: summary
2022-11-20 01:05:15,258 INFO    SenderThread:18152 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-11-20 01:05:15,262 DEBUG   HandlerThread:18152 [handler.py:handle_request():139] handle_request: check_version
2022-11-20 01:05:15,262 DEBUG   SenderThread:18152 [sender.py:send_request():317] send_request: check_version
2022-11-20 01:05:15,423 DEBUG   HandlerThread:18152 [handler.py:handle_request():139] handle_request: run_start
2022-11-20 01:05:15,438 DEBUG   HandlerThread:18152 [system_info.py:__init__():31] System info init
2022-11-20 01:05:15,439 DEBUG   HandlerThread:18152 [system_info.py:__init__():46] System info init done
2022-11-20 01:05:15,440 INFO    HandlerThread:18152 [system_monitor.py:start():150] Starting system monitor
2022-11-20 01:05:15,440 INFO    SystemMonitor:18152 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-20 01:05:15,440 INFO    HandlerThread:18152 [system_monitor.py:probe():168] Collecting system info
2022-11-20 01:05:15,448 INFO    SystemMonitor:18152 [interfaces.py:start():168] Started cpu
2022-11-20 01:05:15,449 INFO    SystemMonitor:18152 [interfaces.py:start():168] Started disk
2022-11-20 01:05:15,450 INFO    SystemMonitor:18152 [interfaces.py:start():168] Started gpu
2022-11-20 01:05:15,466 DEBUG   HandlerThread:18152 [system_info.py:probe():195] Probing system
2022-11-20 01:05:15,467 INFO    SystemMonitor:18152 [interfaces.py:start():168] Started memory
2022-11-20 01:05:15,485 INFO    SystemMonitor:18152 [interfaces.py:start():168] Started network
2022-11-20 01:05:15,487 DEBUG   HandlerThread:18152 [system_info.py:_probe_git():180] Probing git
2022-11-20 01:05:15,641 DEBUG   HandlerThread:18152 [system_info.py:_probe_git():188] Probing git done
2022-11-20 01:05:15,643 DEBUG   HandlerThread:18152 [system_info.py:probe():241] Probing system done
