2022-11-19 17:41:41,477 INFO    StreamThr :368 [internal.py:wandb_internal():91] W&B internal server running at pid: 368, started at: 2022-11-19 17:41:41.477102
2022-11-19 17:41:41,493 DEBUG   HandlerThread:368 [handler.py:handle_request():139] handle_request: status
2022-11-19 17:41:41,497 DEBUG   SenderThread:368 [sender.py:send_request():317] send_request: status
2022-11-19 17:41:41,499 DEBUG   SenderThread:368 [sender.py:send():303] send: header
2022-11-19 17:41:41,499 INFO    WriterThread:368 [datastore.py:open_for_write():75] open: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221119_174141-29cvvriy\run-29cvvriy.wandb
2022-11-19 17:41:41,523 DEBUG   SenderThread:368 [sender.py:send():303] send: run
2022-11-19 17:41:42,103 DEBUG   HandlerThread:368 [handler.py:handle_request():139] handle_request: check_version
2022-11-19 17:41:42,103 INFO    SenderThread:368 [dir_watcher.py:__init__():216] watching files in: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221119_174141-29cvvriy\files
2022-11-19 17:41:42,105 INFO    SenderThread:368 [sender.py:_start_run_threads():931] run started: 29cvvriy with start time 1668850901.473102
2022-11-19 17:41:42,105 DEBUG   SenderThread:368 [sender.py:send():303] send: summary
2022-11-19 17:41:42,106 INFO    SenderThread:368 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-11-19 17:41:42,106 DEBUG   SenderThread:368 [sender.py:send_request():317] send_request: check_version
2022-11-19 17:41:42,243 DEBUG   HandlerThread:368 [handler.py:handle_request():139] handle_request: run_start
2022-11-19 17:41:42,257 DEBUG   HandlerThread:368 [system_info.py:__init__():31] System info init
2022-11-19 17:41:42,258 DEBUG   HandlerThread:368 [system_info.py:__init__():46] System info init done
2022-11-19 17:41:42,258 INFO    HandlerThread:368 [system_monitor.py:start():150] Starting system monitor
2022-11-19 17:41:42,259 INFO    SystemMonitor:368 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-19 17:41:42,259 INFO    HandlerThread:368 [system_monitor.py:probe():168] Collecting system info
2022-11-19 17:41:42,265 INFO    SystemMonitor:368 [interfaces.py:start():168] Started cpu
2022-11-19 17:41:42,287 INFO    SystemMonitor:368 [interfaces.py:start():168] Started disk
2022-11-19 17:41:42,288 INFO    SystemMonitor:368 [interfaces.py:start():168] Started gpu
2022-11-19 17:41:42,300 DEBUG   HandlerThread:368 [system_info.py:probe():195] Probing system
2022-11-19 17:41:42,300 INFO    SystemMonitor:368 [interfaces.py:start():168] Started memory
2022-11-19 17:41:42,317 INFO    SystemMonitor:368 [interfaces.py:start():168] Started network
2022-11-19 17:41:42,319 DEBUG   HandlerThread:368 [system_info.py:_probe_git():180] Probing git
2022-11-19 17:41:42,426 DEBUG   HandlerThread:368 [system_info.py:_probe_git():188] Probing git done
2022-11-19 17:41:42,426 DEBUG   HandlerThread:368 [system_info.py:probe():241] Probing system done
