G5Yr20A5z_Q,902,0.127,0.337,0.284,0.988,11,0
G5Yr20A5z_Q,902,0.127,0.337,0.284,0.988,74,0
G5Yr20A5z_Q,902,0.127,0.337,0.284,0.988,80,0
G5Yr20A5z_Q,902,0.24,0.326,0.417,1,11,2
G5Yr20A5z_Q,902,0.24,0.326,0.417,1,74,2
G5Yr20A5z_Q,902,0.24,0.326,0.417,1,80,2
G5Yr20A5z_Q,902,0.385,0.075,0.587,0.658,12,4
G5Yr20A5z_Q,902,0.385,0.075,0.587,0.658,79,4
G5Yr20A5z_Q,902,0.385,0.075,0.587,0.658,80,4
G5Yr20A5z_Q,902,0.573,0.269,0.76,0.716,11,1
G5Yr20A5z_Q,902,0.573,0.269,0.76,0.716,74,1
G5Yr20A5z_Q,902,0.573,0.269,0.76,0.716,80,1
G5Yr20A5z_Q,902,0.786,0.309,0.966,0.774,11,3
G5Yr20A5z_Q,902,0.786,0.309,0.966,0.774,74,3
G5Yr20A5z_Q,902,0.786,0.309,0.966,0.774,80,3
G5Yr20A5z_Q,903,0.127,0.34,0.284,0.987,11,0
G5Yr20A5z_Q,903,0.127,0.34,0.284,0.987,74,0
G5Yr20A5z_Q,903,0.127,0.34,0.284,0.987,80,0
G5Yr20A5z_Q,903,0.237,0.321,0.414,0.996,11,2
G5Yr20A5z_Q,903,0.237,0.321,0.414,0.996,74,2
G5Yr20A5z_Q,903,0.237,0.321,0.414,0.996,80,2
G5Yr20A5z_Q,903,0.332,0.246,0.436,0.442,11,5
G5Yr20A5z_Q,903,0.332,0.246,0.436,0.442,74,5
G5Yr20A5z_Q,903,0.332,0.246,0.436,0.442,80,5
G5Yr20A5z_Q,903,0.38,0.059,0.583,0.721,12,4
G5Yr20A5z_Q,903,0.587,0.266,0.758,0.706,11,1
G5Yr20A5z_Q,903,0.587,0.266,0.758,0.706,74,1
G5Yr20A5z_Q,903,0.587,0.266,0.758,0.706,80,1
G5Yr20A5z_Q,903,0.804,0.313,0.961,0.76,11,3
G5Yr20A5z_Q,903,0.804,0.313,0.961,0.76,74,3
G5Yr20A5z_Q,903,0.804,0.313,0.961,0.76,80,3
G5Yr20A5z_Q,904,0.126,0.349,0.279,0.991,11,0
G5Yr20A5z_Q,904,0.126,0.349,0.279,0.991,74,0
G5Yr20A5z_Q,904,0.238,0.323,0.409,1,11,2
G5Yr20A5z_Q,904,0.238,0.323,0.409,1,74,2
G5Yr20A5z_Q,904,0.246,0.216,0.319,0.442,11,6
G5Yr20A5z_Q,904,0.246,0.216,0.319,0.442,74,6
G5Yr20A5z_Q,904,0.246,0.216,0.319,0.442,80,6
G5Yr20A5z_Q,904,0.334,0.247,0.427,0.45,11,5
G5Yr20A5z_Q,904,0.334,0.247,0.427,0.45,74,5
G5Yr20A5z_Q,904,0.41,0.049,0.578,0.628,12,4
G5Yr20A5z_Q,904,0.41,0.049,0.578,0.628,79,4
G5Yr20A5z_Q,904,0.582,0.264,0.761,0.724,11,1
G5Yr20A5z_Q,904,0.582,0.264,0.761,0.724,74,1
G5Yr20A5z_Q,904,0.808,0.324,0.966,0.768,11,3
G5Yr20A5z_Q,904,0.808,0.324,0.966,0.768,74,3
