2022-11-19 17:39:05,211 INFO    StreamThr :368 [internal.py:wandb_internal():91] W&B internal server running at pid: 368, started at: 2022-11-19 17:39:05.210590
2022-11-19 17:39:05,213 DEBUG   HandlerThread:368 [handler.py:handle_request():139] handle_request: status
2022-11-19 17:39:05,214 DEBUG   SenderThread:368 [sender.py:send_request():317] send_request: status
2022-11-19 17:39:05,218 DEBUG   SenderThread:368 [sender.py:send():303] send: header
2022-11-19 17:39:05,218 INFO    WriterThread:368 [datastore.py:open_for_write():75] open: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221119_173905-1v85fz38\run-1v85fz38.wandb
2022-11-19 17:39:05,264 DEBUG   SenderThread:368 [sender.py:send():303] send: run
2022-11-19 17:39:06,046 INFO    SenderThread:368 [dir_watcher.py:__init__():216] watching files in: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221119_173905-1v85fz38\files
2022-11-19 17:39:06,046 INFO    SenderThread:368 [sender.py:_start_run_threads():931] run started: 1v85fz38 with start time 1668850745.215589
2022-11-19 17:39:06,046 DEBUG   SenderThread:368 [sender.py:send():303] send: summary
2022-11-19 17:39:06,047 INFO    SenderThread:368 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-11-19 17:39:06,051 DEBUG   HandlerThread:368 [handler.py:handle_request():139] handle_request: check_version
2022-11-19 17:39:06,051 DEBUG   SenderThread:368 [sender.py:send_request():317] send_request: check_version
2022-11-19 17:39:06,213 DEBUG   HandlerThread:368 [handler.py:handle_request():139] handle_request: run_start
2022-11-19 17:39:06,226 DEBUG   HandlerThread:368 [system_info.py:__init__():31] System info init
2022-11-19 17:39:06,231 DEBUG   HandlerThread:368 [system_info.py:__init__():46] System info init done
2022-11-19 17:39:06,231 INFO    HandlerThread:368 [system_monitor.py:start():150] Starting system monitor
2022-11-19 17:39:06,231 INFO    SystemMonitor:368 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-19 17:39:06,231 INFO    HandlerThread:368 [system_monitor.py:probe():168] Collecting system info
2022-11-19 17:39:06,236 INFO    SystemMonitor:368 [interfaces.py:start():168] Started cpu
2022-11-19 17:39:06,237 INFO    SystemMonitor:368 [interfaces.py:start():168] Started disk
2022-11-19 17:39:06,238 INFO    SystemMonitor:368 [interfaces.py:start():168] Started gpu
2022-11-19 17:39:06,250 DEBUG   HandlerThread:368 [system_info.py:probe():195] Probing system
2022-11-19 17:39:06,250 INFO    SystemMonitor:368 [interfaces.py:start():168] Started memory
2022-11-19 17:39:06,269 INFO    SystemMonitor:368 [interfaces.py:start():168] Started network
2022-11-19 17:39:06,275 DEBUG   HandlerThread:368 [system_info.py:_probe_git():180] Probing git
2022-11-19 17:39:06,353 DEBUG   HandlerThread:368 [system_info.py:_probe_git():188] Probing git done
2022-11-19 17:39:06,354 DEBUG   HandlerThread:368 [system_info.py:probe():241] Probing system done
