2022-11-19 15:52:11,919 INFO    StreamThr :31192 [internal.py:wandb_internal():91] W&B internal server running at pid: 31192, started at: 2022-11-19 15:52:11.918564
2022-11-19 15:52:11,920 DEBUG   HandlerThread:31192 [handler.py:handle_request():139] handle_request: status
2022-11-19 15:52:11,921 DEBUG   SenderThread:31192 [sender.py:send_request():317] send_request: status
2022-11-19 15:52:11,925 DEBUG   SenderThread:31192 [sender.py:send():303] send: header
2022-11-19 15:52:11,925 INFO    WriterThread:31192 [datastore.py:open_for_write():75] open: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221119_155211-1um21uoa\run-1um21uoa.wandb
2022-11-19 15:52:11,971 DEBUG   SenderThread:31192 [sender.py:send():303] send: run
2022-11-19 15:52:12,508 INFO    SenderThread:31192 [dir_watcher.py:__init__():216] watching files in: c:\Users\user\Documents\GitHub\ict3104-team09-2022-binder\Codes\TSU\Toyota_Smarthome\pipline\wandb\run-20221119_155211-1um21uoa\files
2022-11-19 15:52:12,508 INFO    SenderThread:31192 [sender.py:_start_run_threads():931] run started: 1um21uoa with start time 1668844331.922559
2022-11-19 15:52:12,509 DEBUG   SenderThread:31192 [sender.py:send():303] send: summary
2022-11-19 15:52:12,510 INFO    SenderThread:31192 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-11-19 15:52:12,513 DEBUG   HandlerThread:31192 [handler.py:handle_request():139] handle_request: check_version
2022-11-19 15:52:12,514 DEBUG   SenderThread:31192 [sender.py:send_request():317] send_request: check_version
2022-11-19 15:52:12,577 DEBUG   HandlerThread:31192 [handler.py:handle_request():139] handle_request: run_start
2022-11-19 15:52:12,591 DEBUG   HandlerThread:31192 [system_info.py:__init__():31] System info init
2022-11-19 15:52:12,591 DEBUG   HandlerThread:31192 [system_info.py:__init__():46] System info init done
2022-11-19 15:52:12,591 INFO    HandlerThread:31192 [system_monitor.py:start():150] Starting system monitor
2022-11-19 15:52:12,591 INFO    SystemMonitor:31192 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-19 15:52:12,591 INFO    HandlerThread:31192 [system_monitor.py:probe():168] Collecting system info
2022-11-19 15:52:12,596 INFO    SystemMonitor:31192 [interfaces.py:start():168] Started cpu
2022-11-19 15:52:12,596 INFO    SystemMonitor:31192 [interfaces.py:start():168] Started disk
2022-11-19 15:52:12,597 INFO    SystemMonitor:31192 [interfaces.py:start():168] Started gpu
2022-11-19 15:52:12,610 DEBUG   HandlerThread:31192 [system_info.py:probe():195] Probing system
2022-11-19 15:52:12,610 INFO    SystemMonitor:31192 [interfaces.py:start():168] Started memory
2022-11-19 15:52:12,617 INFO    SystemMonitor:31192 [interfaces.py:start():168] Started network
2022-11-19 15:52:12,625 DEBUG   HandlerThread:31192 [system_info.py:_probe_git():180] Probing git
2022-11-19 15:52:12,704 DEBUG   HandlerThread:31192 [system_info.py:_probe_git():188] Probing git done
2022-11-19 15:52:12,705 DEBUG   HandlerThread:31192 [system_info.py:probe():241] Probing system done
2022-11-19 15:52:12,705 DEBUG   HandlerThread:31192 [system_monitor.py:probe():177] {'os': 'Windows-10-10.0.19041-SP0', 'python': '3.6.8', 'heartbeatAt': '2022-11-19T07:52:12.610905', 'startedAt': '2022-11-19T07:52:11.905494', 'docker': None, 'cuda': None, 'args': ('-dataset', 'TSU', '-mode', 'rgb', '-split_setting', 'CS', '-model', 'PDAN', '-train', 'True', '-num_channel', '512', '-lr', '0.0002', '-kernelsize', '3', '-APtype', 'map', '-epoch', '3', '-batch_size', '1', '-comp_info', 'TSU_CS_RGB_PDAN', '-load_model', './PreTrainedModel/PDAN_TSU_RGB', '-rgb_root', './CuratedExtractedFeatures', '-featurePath', './data/smarthome_CS_32.json', '-outputTrain', "'c:\\Users\\user\\Documents\\GitHub\\ict3104-team09-2022-binder\\Codes\\TSU\\Toyota_Smarthome\\pipline\\poop\\'"), 'state': 'running', 'program': '<python with no main file>', 'git': {'remote': 'https://github.com/ict3104-team09-2022/ict3104-team09-2022-binder.git', 'commit': '71a2d983511e6e7f58c957875113ce7d8e8ce414'}, 'email': '74093775+TXMi@users.noreply.github.com', 'root': 'C:/Users/user/Documents/GitHub/ict3104-team09-2022-binder', 'host': 'DESKTOP-JM416HJ', 'username': 'user', 'executable': 'c:\\Users\\user\\AppData\\Local\\Programs\\Python\\Python36\\python.exe', 'cpu_count': 6, 'cpu_count_logical': 12, 'cpu_freq': {'current': 2500.0, 'min': 0.0, 'max': 2500.0}, 'cpu_freq_per_core': [{'current': 2500.0, 'min': 0.0, 'max': 2500.0}], 'disk': {'total': 953.2561683654785, 'used': 649.1876640319824}, 'gpu': 'NVIDIA GeForce RTX 2070', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 2070', 'memory_total': 8589934592}], 'memory': {'total': 15.792839050292969}}
2022-11-19 15:52:12,705 INFO    HandlerThread:31192 [system_monitor.py:probe():178] Finished collecting system info
